"Timestamp","Age","Gender","Country","state","self_employed","family_history","treatment","work_interfere","no_employees","remote_work","tech_company","benefits","care_options","wellness_program","seek_help","anonymity","leave","mental_health_consequence","phys_health_consequence","coworkers","supervisor","mental_health_interview","phys_health_interview","mental_vs_physical","obs_consequence","comments"
2014-08-27 11:29:31,37,"Female","United States","IL",NA,"No","Yes","Often","6-25","No","Yes","Yes","Not sure","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","Maybe","Yes","No",NA
2014-08-27 11:29:37,44,"M","United States","IN",NA,"No","No","Rarely","More than 1000","No","No","Don't know","No","Don't know","Don't know","Don't know","Don't know","Maybe","No","No","No","No","No","Don't know","No",NA
2014-08-27 11:29:44,32,"Male","Canada",NA,NA,"No","No","Rarely","6-25","No","Yes","No","No","No","No","Don't know","Somewhat difficult","No","No","Yes","Yes","Yes","Yes","No","No",NA
2014-08-27 11:29:46,31,"Male","United Kingdom",NA,NA,"Yes","Yes","Often","26-100","No","Yes","No","Yes","No","No","No","Somewhat difficult","Yes","Yes","Some of them","No","Maybe","Maybe","No","Yes",NA
2014-08-27 11:30:22,31,"Male","United States","TX",NA,"No","No","Never","100-500","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Don't know","No","No","Some of them","Yes","Yes","Yes","Don't know","No",NA
2014-08-27 11:31:22,33,"Male","United States","TN",NA,"Yes","No","Sometimes","6-25","No","Yes","Yes","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","Maybe","Don't know","No",NA
2014-08-27 11:31:50,35,"Female","United States","MI",NA,"Yes","Yes","Sometimes","1-5","Yes","Yes","No","No","No","No","No","Somewhat difficult","Maybe","Maybe","Some of them","No","No","No","Don't know","No",NA
2014-08-27 11:32:05,39,"M","Canada",NA,NA,"No","No","Never","1-5","Yes","Yes","No","Yes","No","No","Yes","Don't know","No","No","No","No","No","No","No","No",NA
2014-08-27 11:32:39,42,"Female","United States","IL",NA,"Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Very difficult","Maybe","No","Yes","Yes","No","Maybe","No","No",NA
2014-08-27 11:32:43,23,"Male","Canada",NA,NA,"No","No","Never","26-100","No","Yes","Don't know","No","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 11:32:44,31,"Male","United States","OH",NA,"No","Yes","Sometimes","6-25","Yes","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","Some of them","Yes","No","No","Don't know","No",NA
2014-08-27 11:32:49,29,"male","Bulgaria",NA,NA,"No","No","Never","100-500","Yes","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","No","Yes","Yes","Yes","Yes","Don't know","No",NA
2014-08-27 11:33:23,42,"female","United States","CA",NA,"Yes","Yes","Sometimes","26-100","No","No","Yes","Yes","No","No","Don't know","Somewhat difficult","Yes","Yes","Yes","Yes","Maybe","Maybe","No","Yes",NA
2014-08-27 11:33:26,36,"Male","United States","CT",NA,"Yes","No","Never","500-1000","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","No","No","Yes","Yes","No","No","Don't know","No","I'm not on my company's health insurance which could be part of the reason I answered Don't know to so many questions."
2014-08-27 11:33:57,27,"Male","Canada",NA,NA,"No","No","Never","6-25","No","Yes","Don't know","Not sure","Don't know","Don't know","Don't know","Somewhat easy","No","No","Some of them","Some of them","Maybe","Yes","Yes","No",NA
2014-08-27 11:34:00,29,"female","United States","IL",NA,"Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","No","No","Don't know","Somewhat easy","No","No","Yes","Some of them","Maybe","Maybe","Don't know","No","I have chronic low-level neurological issues that have mental health side effects. One of my supervisors has also experienced similar neurological problems so I feel more comfortable being open about my issues than I would with someone without that experience. "
2014-08-27 11:34:20,23,"Male","United Kingdom",NA,NA,"No","Yes","Sometimes","26-100","Yes","Yes","Don't know","No","Don't know","Don't know","Don't know","Very easy","Maybe","No","Some of them","No","Maybe","Maybe","No","No","My company does provide healthcare but not to me as I'm on a fixed-term contract. The mental healthcare I use is provided entirely outside of my work."
2014-08-27 11:34:37,32,"Male","United States","TN",NA,"No","Yes","Sometimes","6-25","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","Maybe","No","Some of them","Yes","No","No","No","No",NA
2014-08-27 11:34:53,46,"male","United States","MD","Yes","Yes","No","Sometimes","1-5","Yes","Yes","Yes","Not sure","Yes","Don't know","Yes","Very easy","No","No","Yes","Yes","No","Yes","Yes","Yes",NA
2014-08-27 11:35:08,36,"Male","France",NA,"Yes","Yes","No",NA,"6-25","Yes","Yes","No","No","Yes","No","Yes","Somewhat easy","No","No","Some of them","Some of them","Maybe","Maybe","Don't know","No",NA
2014-08-27 11:35:12,29,"Male","United States","NY","No","Yes","Yes","Sometimes","100-500","No","Yes","Yes","Yes","No","No","No","Somewhat difficult","Maybe","No","Some of them","Some of them","No","No","No","No",NA
2014-08-27 11:35:24,31,"male","United States","NC","Yes","No","No","Never","1-5","Yes","Yes","No","No","No","No","Yes","Somewhat difficult","No","No","Some of them","Some of them","No","Maybe","Yes","No",NA
2014-08-27 11:35:48,46,"Male","United States","MA","No","No","Yes","Often","26-100","Yes","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","Yes","No","Maybe","No","No",NA
2014-08-27 11:36:24,41,"Male","United States","IA","No","No","Yes","Never","More than 1000","No","No","Don't know","No","No","Don't know","Don't know","Don't know","Maybe","No","No","No","No","Yes","Don't know","No",NA
2014-08-27 11:36:48,33,"male","United States","CA","No","Yes","Yes","Rarely","26-100","No","Yes","Yes","Not sure","Don't know","Yes","Yes","Don't know","No","No","Yes","Yes","No","Yes","Don't know","No","Relatively new job. Ask again later"
2014-08-27 11:37:08,35,"male","United States","TN","No","Yes","Yes","Sometimes","More than 1000","No","No","Yes","Yes","No","Don't know","No","Very easy","Yes","No","Some of them","Yes","No","Yes","No","No","Sometimes I think  about using drugs for my mental health issues. If i use drugs I feel better"
2014-08-27 11:37:23,33,"male","United States","TN","No","No","No",NA,"1-5","No","Yes","Don't know","Not sure","No","Don't know","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","No","Don't know","No",NA
2014-08-27 11:37:59,35,"Female","United States","CA","No","Yes","Yes","Rarely","6-25","Yes","Yes","Yes","Yes","Don't know","Don't know","Don't know","Don't know","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 11:38:12,34,"male","United States","OH","No","No","Yes","Sometimes","26-100","Yes","Yes","Don't know","Not sure","No","Don't know","Don't know","Somewhat difficult","No","No","Some of them","No","No","No","No","No",NA
2014-08-27 11:38:18,37,"Male","United Kingdom",NA,"No","No","No","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Very difficult","Yes","Maybe","Some of them","No","No","Maybe","No","No",NA
2014-08-27 11:39:03,32,"Male","United Kingdom",NA,"No","No","No","Never","6-25","Yes","Yes","No","No","No","No","Don't know","Don't know","Yes","Yes","Some of them","Some of them","No","Maybe","No","No",NA
2014-08-27 11:38:55,31,"Male","United States","PA","Yes","Yes","No","Rarely","1-5","Yes","Yes","No","Yes","No","No","Don't know","Somewhat difficult","Yes","No","No","No","No","No","No","Yes",NA
2014-08-27 11:39:31,30,"male","United Kingdom",NA,"No","Yes","Yes","Sometimes","500-1000","Yes","Yes","Don't know","No","No","No","Yes","Somewhat easy","Maybe","No","Some of them","Yes","No","Yes","Don't know","No",NA
2014-08-27 11:39:36,42,"Male","United States","WA","No","Yes","Yes","Sometimes","26-100","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Very easy","Maybe","No","Some of them","Some of them","Maybe","Yes","Don't know","No","I selected my current employer based on its policies about self care and the quality of their overall health and wellness benefits. I still have residual caution from previous employers who ranged from ambivalent to indifferent to actively hostile regarding mental health concerns."
2014-08-27 11:40:51,40,"female","United States","WI","No","No","Yes","Sometimes","1-5","No","Yes","Yes","Yes","No","No","Don't know","Don't know","Maybe","No","Some of them","No","No","Maybe","Yes","No",NA
2014-08-27 11:41:17,27,"Male","United States","NY","No","No","Yes","Rarely","6-25","No","Yes","No","Yes","No","No","Don't know","Very easy","No","No","Yes","Yes","Maybe","Maybe","Don't know","No",NA
2014-08-27 11:41:37,29,"Male","Canada",NA,"No","No","No","Rarely","1-5","No","Yes","No","No","No","No","Don't know","Very easy","Yes","Maybe","Some of them","No","No","No","Don't know","No",NA
2014-08-27 11:41:50,38,"Male","Portugal",NA,"No","No","No",NA,"100-500","No","Yes","No","Yes","No","No","Don't know","Somewhat easy","Maybe","No","Some of them","Some of them","No","Maybe","No","No",NA
2014-08-27 11:42:08,50,"M","United States","IN","No","No","No",NA,"100-500","No","Yes","Yes","Yes","No","Don't know","Don't know","Don't know","No","No","Some of them","Yes","No","Maybe","Don't know","No",NA
2014-08-27 11:42:15,35,"M","United States","TX","No","No","Yes","Rarely","More than 1000","Yes","Yes","Yes","Yes","No","Yes","Yes","Very easy","No","No","Yes","Yes","Maybe","Maybe","Yes","No",NA
2014-08-27 11:42:25,24,"Male","United Kingdom",NA,"No","No","Yes","Sometimes","6-25","No","Yes","No","No","No","No","Don't know","Don't know","Maybe","Maybe","Some of them","No","No","Yes","No","Yes",NA
2014-08-27 11:42:31,35,"Male","United States","MI","No","No","No",NA,"More than 1000","Yes","Yes","Yes","Not sure","Don't know","Yes","Don't know","Somewhat difficult","Yes","Yes","Some of them","No","No","Maybe","Don't know","No",NA
2014-08-27 11:43:07,27,"Male","Canada",NA,"No","Yes","Yes","Sometimes","1-5","No","Yes","No","Yes","No","No","Yes","Very difficult","Maybe","No","Some of them","No","No","No","Yes","No",NA
2014-08-27 11:43:10,18,"Male","Netherlands",NA,"No","No","No","Often","6-25","No","Yes","No","Not sure","No","No","Don't know","Somewhat difficult","Yes","Maybe","No","Some of them","No","No","No","No",NA
2014-08-27 11:43:22,30,"Male","United States","IN","No","No","Yes","Sometimes","26-100","No","Yes","Don't know","No","No","No","Don't know","Don't know","No","No","No","No","No","Maybe","Don't know","No",NA
2014-08-27 11:43:36,38,"Female","United States","TX","No","Yes","Yes","Sometimes","26-100","No","Yes","Yes","Yes","No","Yes","Yes","Somewhat easy","No","No","Some of them","Yes","No","No","Yes","No","Our health plan has covered my psychotherapy and my antidepressant medication. My manager has been aware but discreet throughout. I did get negative reviews when my depression was trashing my delivery but y'know I wasn't delivering."
2014-08-27 11:43:45,28,"Male","United Kingdom",NA,"No","No","No",NA,"26-100","No","Yes","Don't know","Not sure","No","No","Don't know","Don't know","No","Maybe","Some of them","Yes","Maybe","Yes","Don't know","No",NA
2014-08-27 11:43:48,34,"Male","United States","TN","No","No","No",NA,"6-25","No","Yes","No","No","No","No","Don't know","Don't know","No","No","Yes","Yes","Maybe","Yes","Don't know","No",NA
